Revista;Publisher;DOI;Proprietary Identifier;Print ISSN;Online ISSN;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
AASRI Procedia;Elsevier; ;AASRI;2212-6716;;0;3;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Academic Pediatrics;Elsevier; ;ACAP;1876-2859;1876-2867;2;4;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Academic Radiology;Elsevier; ;XACRA;1076-6332;1878-4046;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Accident Analysis & Prevention;Elsevier; ;AAP;0001-4575;;4;8;7;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Accident and Emergency Nursing;Elsevier; ;IENJ;0965-2302;;0;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Accounting Forum;Elsevier; ;ACCFOR;0155-9982;1467-6303;3;5;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Accounting, Management and Information Technologies;Elsevier; ;INFORG;0959-8022;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Accounting, Organizations and Society;Elsevier; ;AOS;0361-3682;;0;3;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Anaesthesiologica Taiwanica;Elsevier; ;AJA;1875-4597;1875-452X;1;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Astronautica;Elsevier; ;AA;0094-5765;;0;8;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Biomaterialia;Elsevier; ;ACTBIO;1742-7061;1878-7568;0;3;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Colombiana de Cuidado Intensivo;Elsevier; ;ACCI;0122-7262;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta de Investigación Psicológica;Elsevier; ;AIPPRR;2007-4719;;23;70;89;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Ecologica Sinica;Elsevier; ;CHNAES;1872-2032;;1;3;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Histochemica;Elsevier; ;ACTHIS;0065-1281;1618-0372;2;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Materialia;Elsevier; ;AM;1359-6454;;2;4;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Metallurgica;Elsevier; ;AM;0001-6160;;0;2;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Metallurgica et Materialia;Elsevier; ;AM;0956-7151;;0;3;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Oecologica;Elsevier; ;ACTOEC;1146-609X;;1;2;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Orthopaedica et Traumatologica Turcica;Elsevier; ;AOTT;1017-995X;2589-1294;0;1;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Otorrinolaringologica (English Edition);Elsevier; ;OTOENG;2173-5735;2173-5735;0;1;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Otorrinolaringológica Española;Elsevier; ;OTORRI;0001-6519;1988-3013;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Pharmaceutica Sinica B;Elsevier; ;APSB;2211-3835;2211-3843;1;3;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Poética;Elsevier; ;APOET;0185-3082;;0;0;13;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Psychologica;Elsevier; ;ACTPSY;0001-6918;;0;3;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Sociológica;Elsevier; ;ACSO;0186-6028;;6;35;27;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Acta Tropica;Elsevier; ;ACTROP;0001-706X;1873-6254;3;29;70;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Actas Dermo-Sifiliográficas (English Edition);Elsevier; ;ADENGL;1578-2190;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Actas Urológicas Españolas (English Edition);Elsevier; ;ACUROE;2173-5786;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Ad Hoc Networks;Elsevier; ;ADHOC;1570-8705;;0;0;3;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Addictive Behaviors;Elsevier; ;AB;0306-4603;1873-6327;0;6;12;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Addictive Behaviors Reports;Elsevier; ;ABREP;2352-8532;2352-8532;0;10;9;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Additive Manufacturing;Elsevier; ;ADDMA;2214-8604;;0;7;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advanced Drug Delivery Reviews;Elsevier; ;ADR;0169-409X;1872-8294;3;1;11;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advanced Energy Conversion;Elsevier; ;ECM;0365-1789;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advanced Engineering Informatics;Elsevier; ;ADVEI;1474-0346;;2;0;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advanced Industrial and Engineering Polymer Research;Elsevier; ;AIEPR;2542-5048;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Accounting;Elsevier; ;ADIAC;0882-6110;;0;1;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Applied Mathematics;Elsevier; ;YAAMA;0196-8858;1090-2074;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Biological Regulation;Elsevier; ;JBIOR;2212-4926;;0;1;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Climate Change Research;Elsevier; ;ACCRE;1674-9278;;2;5;2;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Colloid and Interface Science;Elsevier; ;CIS;0001-8686;;2;0;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Digestive Medicine;Elsevier; ;AIDM;2351-9797;2351-9800;0;1;6;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Environmental Research;Elsevier; ;YJEMA;1093-0191;;2;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Enzyme Regulation;Elsevier; ;JBIOR;0065-2571;;0;0;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Mathematics;Elsevier; ;YAIMA;0001-8708;1090-2082;1;3;5;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Molecular Relaxation and Interaction Processes;Elsevier; ;MOLLIQ;0378-4487;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Molecular Relaxation Processes;Elsevier; ;MOLLIQ;0001-8716;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Pediatrics;Elsevier; ;YYAPD;0065-3101;;0;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Small Animal Medicine and Surgery;Elsevier; ;YNASA;1041-7826;;0;0;24;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Space Research;Elsevier; ;JASR;0273-1177;1879-1948;0;0;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Advances in Water Resources;Elsevier; ;ADWR;0309-1708;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Aeolian Research;Elsevier; ;AEOLIA;1875-9637;;0;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Aerospace Science and Technology;Elsevier; ;AESCTE;1270-9638;;0;0;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
African Journal of Emergency Medicine;Elsevier; ;AFJEM;2211-419X;;1;3;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
African Journal of Urology;Elsevier; ;AFJU;1110-5704;;0;1;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Ageing Research Reviews;Elsevier; ;ARR;1568-1637;1872-9649;0;2;0;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Aggression and Violent Behavior;Elsevier; ;AVB;1359-1789;1873-6335;0;0;4;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Agricultural Administration and Extension;Elsevier; ;;0269-7475;;0;0;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Agricultural and Forest Meteorology;Elsevier; ;AGMET;0168-1923;;0;22;8;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Agricultural Meteorology;Elsevier; ;AGMET;0002-1571;;0;3;1;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
Agricultural Systems;Elsevier; ;AGSY;0308-521X;;1;16;40;CONCYTEC_JR1_SCIENCEDIRECT_03_2019 (1).csv;Institucion;Revista
