Libro;Publisher;DOI;Proprietary Identifier;ISBN;ISSN;11-2018;12-2018;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
A Comprehensive Guide to Solar Energy Systems;Elsevier;; ;978-0-12-811479-7;;0;0;0;0;2;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
A Global Perspective on Private Higher Education;Chandos Publishing;; ;978-0-08-100872-0;;0;0;7;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Abiotic and Biotic Stresses in Soybean Production;Elsevier;; ;978-0-12-801536-0;;0;0;4;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Advanced Remote Sensing;Elsevier;; ;978-0-12-385954-9;;0;0;0;2;60;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Advances in Nanomedicine for the Delivery of Therapeutic Nucleic Acids;Woodhead Publishing;; ;978-0-08-100557-6;;0;0;4;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Advances in Rice Research for Abiotic Stress Tolerance;Woodhead Publishing;; ;978-0-12-814332-2;;1;0;0;27;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Agile Energy Systems (Second Edition);Elsevier;; ;978-0-08-101760-9;;0;0;0;11;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Agricultural Systems (Second Edition);Elsevier;; ;978-0-12-802070-8;;0;0;14;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Agro-Industrial Wastes as Feedstock for Enzyme Production;Elsevier;; ;978-0-12-802392-1;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Air Traffic Management;Elsevier;; ;978-0-12-811118-5;;0;0;8;0;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Ambiente Bentônico;Elsevier;; ;978-85-352-7263-5;;0;0;0;10;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Ambiente Pelágico;Elsevier;; ;978-85-352-7276-5;;0;0;0;10;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Analysis in Nutrition Research;Elsevier;; ;978-0-12-814556-2;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Analytical Methods for Agricultural Contaminants;Elsevier;; ;978-0-12-815940-8;;0;0;0;2;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Animals and Human Society;Elsevier;; ;978-0-12-805247-1;;0;0;0;0;1;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Approaches to Water Sensitive Urban Design;Woodhead Publishing;; ;978-0-12-812843-5;;0;0;0;0;28;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Artemisinin-Based and Other Antimalarials;Elsevier;; ;978-0-12-813133-6;;0;0;0;1;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Assessment, Restoration and Reclamation of Mining Influenced Soils;Elsevier;; ;978-0-12-809588-1;;0;0;0;18;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Atmospheric Impacts of the Oil and Gas Industry;Elsevier;; ;978-0-12-801883-5;;0;0;0;28;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Bacterial Biogeochemistry (Third Edition);Elsevier;; ;978-0-12-415836-8;;0;0;0;14;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Bio-Geotechnologies for Mine Site Rehabilitation;Elsevier;; ;978-0-12-812986-9;;0;0;0;77;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
Bio-optical Modeling and Remote Sensing of Inland Waters;Elsevier;; ;978-0-12-804644-9;;0;0;0;9;0;CONCYTEC_ONLY_BOOKS_BR2_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Libro
