Revista;Publisher;DOI;Proprietary Identifier;Print ISSN;Online ISSN;10-2018;11-2018;12-2018;01-2019;02-2019;03-2019;Archivo;Usuario;Recurso
Science of The Total Environment;Elsevier; ;STOTEN;0048-9697;1879-1026;0;28;34;45;111;39;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Food Chemistry;Elsevier; ;FOCH;0308-8146;1873-7072;1;10;18;15;95;55;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Ecological Indicators;Elsevier; ;ECOIND;1470-160X;;0;32;14;8;92;34;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Fisheries Research;Elsevier; ;FISH;0165-7836;;140;178;93;42;21;67;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista Médica Clínica Las Condes;Elsevier; ;RMCLC;0716-8640;;0;28;29;40;38;34;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Aquaculture;Elsevier; ;AQUA;0044-8486;;0;13;3;26;34;48;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Environmental Pollution;Elsevier; ;ENPO;0269-7491;1873-6424;5;33;44;7;93;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Acta Tropica;Elsevier; ;ACTROP;0001-706X;1873-6254;0;3;8;82;9;4;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia - Social and Behavioral Sciences;Elsevier; ;SBSPRO;1877-0428;1877-0428;0;3;12;16;20;59;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Marine Pollution Bulletin;Elsevier; ;MPB;0025-326X;1879-3363;0;270;60;37;23;33;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Procedia Computer Science;Elsevier; ;PROCS;1877-0509;1877-0509;0;1;15;21;45;20;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Progress in Oceanography;Elsevier; ;PROOCE;0079-6611;;8;115;59;41;10;34;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Revista de la Educación Superior;Elsevier; ;RESU;0185-2760;2395-9037;0;0;0;9;30;26;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Deep Sea Research Part II: Topical Studies in Oceanography;Elsevier; ;DSRII;0967-0645;;3;56;34;13;29;15;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Educación Médica;Elsevier; ;EDUMED;1575-1813;;0;24;22;20;25;12;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Gaceta Sanitaria;Elsevier; ;GACETA;0213-9111;1578-1283;2;32;15;43;6;8;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
American Journal of Obstetrics and Gynecology;Elsevier; ;YMOB;0002-9378;1097-6868;0;20;10;11;44;1;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
American Journal of Orthodontics and Dentofacial Orthopedics;Elsevier; ;YMOD;0889-5406;;0;147;0;20;28;8;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
Marine Environmental Research;Elsevier; ;MERE;0141-1136;1879-0291;0;8;8;12;19;25;CONCYTEC_ONLY_JR1_SCIENCEDIRECT_03_2019.csv;Biblioteca virtual;Revista
